Name,Age
Joanne K. Rowling,56
Patrick James Rothfuss,48
John Ronald Reuel Tolkien,81
James Patterson,74
Rick Rioridan,57
Steven Callahan,69
Suzanne Collins,59
Agatha Christie,85
Danielle Steel,74
Ernest Hemingway,61
John Grisham,66
Nora Roberts,71
Dan Brown,57
Jane Austen,41
Leo Tolstoy,82
Theodor Seuss Geisel,87
Mark Twain,75
George R. R. Martin,73
F. Scott Fitzgerald,44
George Orwell,47
Abraham Eraly,59
Adolf Hitler,69
Albert Camus,52
Aldous Huxley,79
Allen Downey,77
Amir Aczel,60
Amitav Ghosh,24
Arthur Conan Doyle,35
Bob Dylan,47
Charles Dickens,52
David Bodanis,32
David Forsyth,78
Drew Conway,88
E T Bell,62
Earle Stanley Gardner,39
Frank Kafka,59
Frederick Forsyth,83
Fritjof Capra,66
Fyodor Dostoevsky,52
Gary Bradsky,26
Gerald Durrell,51
Hart Duda,59
Jaideva Goswami,24
James Gleick,83
Jeffery Archer,44
Jim Corbett,48
John Foreman,74
Joseph Heller,40
Keith Devlin,88
Ken Follett,51
Lee Iacoca,43
Lorraine Hansberry,36
Madan Gupta,87
Michael Baz-Zohar,74
Michael Crichton,32
P L Deshpande,27
Peter Ackroyd,78
Peter Dickinson,88
Peter Drucker,34
Phillip Janert,24
Richard Bach,70
Richard Dawkins,85
Richard Feynman,27
Richard Gordon,20
Robert Fisk,57
Sam Harris,76
Samuel Huntington,27
Sanjay Garg,62
Sergio Franco,64
Siddhartha Deb,50
Simon Haykin,62
Stephen Dubner,36
Stephen Hawking,42
Steve Eddins,85
Sunita Deshpande,88
Thomas Cormen,51
Thomas Friedman,47
V P Kale,90
Victor Hugo,61
W. H. Greene,21
Werner Heisenberg,30
Will Durant,55
William Dalrymple,90
Yashwant Kanetkar,43
BBC,52
Braithwaite,37
Deshpande P L,60
Kautiyla,61
Machiavelli,63
Nariman,84
Palkhivala,57
Sebastian Gutierrez,44
Sorabjee,32
Various,23
Maria Konnikova,21
Dominique Lapierre,53
Steig Larsson,35
William S Maugham,85
Wes McKinney,60
V P Menon,43
Leonard Mlodinow,30
Ned Mohan,44
V S Naipaul,87
V. S. Naipaul,77
Kuldip Nayar,39
Jawaharlal Nehru,66
Robert Nisbet,37
Andy Oram,28
Randy Pausch,74
Robert Pirsig,89
Edgar Allen Poe,20
John Pratt,37
Ayn Rand,43
Sudhanshu Ranjan,38
Muhammad Rashid,25
Eric Raymond,86
J K Rowling,90
Bertrand Russell,36
Alex Rutherford,24
Carl Sagan,27
Edward Said,51
Jean Sassoon,36
Amartya Sen,89
Frank Shih,55
Nate Silver,29
Simon Singh,22
Adam Smith,69
John Steinbeck,84
Alfred Stonier,30
Jonathan Stroud,82
Gerald Sussman,22
Andrew Tanenbaum,62
Terence Tao,25
Schilling Taub,56
Shashi Tharoor,77
Joy Thomas,81
Vladimir Vapnik,34
Jules Verne,60
Cedric Villani,43
Kurt Vonnegut,59
H G Wells,36
H. G. Wells,71
Morris West,21
Bob Woodward,56
Hussain Zaidi,58
